"","plant","BR_code","area_mean_final","area_mean_ravg","spore","rep","plant_name","ASSYST"
"1","1","BR7-01111",61203,76848.4444444445,"1","1","OSR Cracker","Sheff-001"
"2","1","BR7-01112",78805.3333333333,81693.6666666667,"1","2","OSR Cracker","Sheff-001"
"3","1","BR7-01113",69067,75093,"1","3","OSR Cracker","Sheff-001"
"4","1","BR7-01114",84254.6666666667,88771.5555555556,"1","4","OSR Cracker","Sheff-001"
"5","1","BR7-01121",75234.6666666667,88153.6666666667,"2","1","OSR Cracker","Sheff-001"
"6","1","BR7-01122",82738.3333333333,86114.1111111111,"2","2","OSR Cracker","Sheff-001"
"7","1","BR7-01123",66727,66157.8888888889,"2","3","OSR Cracker","Sheff-001"
"8","1","BR7-01124",69361.6666666667,81156.5555555556,"2","4","OSR Cracker","Sheff-001"
"9","1","BR7-01131",84142.3333333333,85360.2222222222,"3","1","OSR Cracker","Sheff-001"
"10","1","BR7-01132",73191,80170.5555555556,"3","2","OSR Cracker","Sheff-001"
"11","1","BR7-01133",64672,67147.6666666667,"3","3","OSR Cracker","Sheff-001"
"12","1","BR7-01134",59155.3333333333,60973,"3","4","OSR Cracker","Sheff-001"
"13","2","BR7-02111",81697.3333333333,81707.5555555556,"1","1","OSR Temple","Sheff-002"
"14","2","BR7-02112",65861.3333333333,69149.4444444444,"1","2","OSR Temple","Sheff-002"
"15","2","BR7-02113",63617,66631.5555555556,"1","3","OSR Temple","Sheff-002"
"16","2","BR7-02114",87483.6666666667,91266.4444444445,"1","4","OSR Temple","Sheff-002"
"17","2","BR7-02121",72151.3333333333,73563.8888888889,"2","1","OSR Temple","Sheff-002"
"18","2","BR7-02122",72850,75028.5555555555,"2","2","OSR Temple","Sheff-002"
"19","2","BR7-02123",74758,78293.6666666667,"2","3","OSR Temple","Sheff-002"
"20","2","BR7-02124",78829.6666666667,80686.5555555556,"2","4","OSR Temple","Sheff-002"
"21","2","BR7-02131",74304.3333333333,72846.7777777778,"3","1","OSR Temple","Sheff-002"
"22","2","BR7-02132",73108.6666666667,72607.3333333333,"3","2","OSR Temple","Sheff-002"
"23","2","BR7-02133",62112.6666666667,66646.2222222222,"3","3","OSR Temple","Sheff-002"
"24","2","BR7-02134",72648.6666666667,76571.6666666667,"3","4","OSR Temple","Sheff-002"
"25","3","BR7-03111",100434.666666667,99444.5555555556,"1","1","Chinese cabbage Wong Bok","Sheff-003"
"26","3","BR7-03112",75802.6666666667,75033.1111111111,"1","2","Chinese cabbage Wong Bok","Sheff-003"
"27","3","BR7-03113",56520.3333333333,56377.1111111111,"1","3","Chinese cabbage Wong Bok","Sheff-003"
"28","3","BR7-03114",66035.3333333333,68094.2222222222,"1","4","Chinese cabbage Wong Bok","Sheff-003"
"29","3","BR7-03121",70221,74588,"2","1","Chinese cabbage Wong Bok","Sheff-003"
"30","3","BR7-03122",76429.3333333333,76274.5555555555,"2","2","Chinese cabbage Wong Bok","Sheff-003"
"31","3","BR7-03123",72187.6666666667,75578.3333333333,"2","3","Chinese cabbage Wong Bok","Sheff-003"
"32","3","BR7-03124",74237,74053.8888888889,"2","4","Chinese cabbage Wong Bok","Sheff-003"
"33","3","BR7-03131",77418.6666666667,75782.8888888889,"3","1","Chinese cabbage Wong Bok","Sheff-003"
"34","3","BR7-03132",30212,30647.1111111111,"3","2","Chinese cabbage Wong Bok","Sheff-003"
"35","3","BR7-03133",77311.3333333333,77841.8888888889,"3","3","Chinese cabbage Wong Bok","Sheff-003"
"36","3","BR7-03134",65594.3333333333,70981.8888888889,"3","4","Chinese cabbage Wong Bok","Sheff-003"
"37","4","BR7-04111",69239.3333333333,66086.7777777778,"1","1","Kale Ragged Jack","BnASSYST-209"
"38","4","BR7-04112",69819.6666666667,69651.1111111111,"1","2","Kale Ragged Jack","BnASSYST-209"
"39","4","BR7-04113",55994.3333333333,54694.3333333333,"1","3","Kale Ragged Jack","BnASSYST-209"
"40","4","BR7-04114",58025.6666666667,56460.5555555556,"1","4","Kale Ragged Jack","BnASSYST-209"
"41","4","BR7-04121",65406.6666666667,63882.8888888889,"2","1","Kale Ragged Jack","BnASSYST-209"
"42","4","BR7-04122",56731,55668.5555555556,"2","2","Kale Ragged Jack","BnASSYST-209"
"43","4","BR7-04123",60057,59578.7777777778,"2","3","Kale Ragged Jack","BnASSYST-209"
"44","4","BR7-04124",58484.6666666667,58039.4444444444,"2","4","Kale Ragged Jack","BnASSYST-209"
"45","4","BR7-04131",52042,55424,"3","1","Kale Ragged Jack","BnASSYST-209"
"46","4","BR7-04132",60029.3333333333,59893.1111111111,"3","2","Kale Ragged Jack","BnASSYST-209"
"47","4","BR7-04133",64214.6666666667,63941.2222222222,"3","3","Kale Ragged Jack","BnASSYST-209"
"48","4","BR7-04134",55860.3333333333,56443.2222222222,"3","4","Kale Ragged Jack","BnASSYST-209"
"49","5","BR7-05111",46051.3333333333,59095.6666666667,"1","1","Kale Siberian","BnASSYST-211"
"50","5","BR7-05112",45086.3333333333,55960.7777777778,"1","2","Kale Siberian","BnASSYST-211"
"51","5","BR7-05113",45540,57547.1111111111,"1","3","Kale Siberian","BnASSYST-211"
"52","5","BR7-05114",76288.3333333333,75811.8888888889,"1","4","Kale Siberian","BnASSYST-211"
"53","5","BR7-05121",59375.3333333333,68326.2222222222,"2","1","Kale Siberian","BnASSYST-211"
"54","5","BR7-05122",40761,55236.2222222222,"2","2","Kale Siberian","BnASSYST-211"
"55","5","BR7-05123",62265,63377.3333333333,"2","3","Kale Siberian","BnASSYST-211"
"56","5","BR7-05124",42266.3333333333,56147.7777777778,"2","4","Kale Siberian","BnASSYST-211"
"57","5","BR7-05131",62605,74547.5555555555,"3","1","Kale Siberian","BnASSYST-211"
"58","5","BR7-05132",63054,67449.8888888889,"3","2","Kale Siberian","BnASSYST-211"
"59","5","BR7-05133",55812,58207.6666666667,"3","3","Kale Siberian","BnASSYST-211"
"60","5","BR7-05134",67023,73879.8888888889,"3","4","Kale Siberian","BnASSYST-211"
